Aeneus_surface	Outgroup
Tigre_T5885_S28	Tigre
Tigre_T5890_S14	Tigre
Tigre_T5891_S1	Tigre
Tigre_T5893_S2	Tigre
Tinaja1B	Tinaja
Tinaja2B	Tinaja
Tinaja3	Tinaja
Tinaja3B	Tinaja
Tinaja4	Tinaja
Tinaja4B	Tinaja
Tinaja_11	Tinaja
Tinaja_12	Tinaja
Tinaja_1Boro	Tinaja
Tinaja_1Gross	Tinaja
Tinaja_2	Tinaja
Tinaja_2Gross	Tinaja
Tinaja_3	Tinaja
Tinaja_3Gross	Tinaja
Tinaja_5	Tinaja
Tinaja_6	Tinaja
Tinaja_B	Tinaja
Tinaja_C	Tinaja
Tinaja_D	Tinaja
Tinaja_E	Tinaja
Toro_1_S19	Toro
Toro_2_S20	Toro
Toro_3_S21	Toro
Vanquez3	Vasquez
Vasquez_V10_S9	Vasquez
Vasquez_V3_S3	Vasquez
Vasquez_V5_S4	Vasquez
Vasquez_V6_S5	Vasquez
Vasquez_V7_S6	Vasquez
Vasquez_V8_S7	Vasquez
Vasquez_V9_S8	Vasquez
Yerbaniz_T5800_S7	Yerbaniz
Yerbaniz_T5802_S16	Yerbaniz
Yerbaniz_T5804_S3	Yerbaniz
Yerbaniz_T5805_S25	Yerbaniz
Yerbaniz_T5806_S4	Yerbaniz
Yerbaniz_T5808_S5	Yerbaniz
Yerbaniz_T5809_S6	Yerbaniz
