Escondido	Mante	Pachon	6121.54	4376.74	3271.09	14042.6	4275.58	21633	15137.9	7095.3	19888.3
Escondido	Mante	Rascon	7500.87	3659.77	2147.39	6897.16	4259.93	23763	8409.44	9591.73	19921.8
Escondido	Mante	Subter	4220.38	4985.17	5587.89	12595.1	4254.45	19108.2	11991.1	2874.2	19872.7
Escondido	Mante	Tinaja	6963.03	3967.28	2518.46	13112.1	4257.82	22899.3	14554.1	8689.12	19903
Escondido	Pachon	Rascon	4398.58	2310.87	4029.54	6880.84	14011.8	23708.9	5165.36	14378.7	21618.1
Escondido	Pachon	Subter	3851.43	6353.82	3393.62	12570.4	13980.6	19051	15516.4	14429.4	21551.6
Escondido	Pachon	Tinaja	3312.22	2069.68	8574.91	13081.8	14005.6	22840.5	6573.47	8734.96	21594.8
Escondido	Rascon	Subter	3062.98	7652.12	2453.97	12577.4	6863.25	19080.7	17774.4	7462.32	23669.2
Escondido	Rascon	Tinaja	2218.19	3055.63	4476.36	13082.9	6875.61	22871.4	11661.7	4616.39	23710.6
Escondido	Subter	Tinaja	7127.95	3376.79	2778.03	13059.4	12587.8	22818.8	13657.3	16920.7	19064.7
Mante	Pachon	Rascon	4419.46	1883.99	5165.21	8525.01	15401.4	9733.58	5243.46	14663.2	7195.54
Mante	Pachon	Subter	3199.26	7481.04	3853.42	12168.2	15355.6	2900.44	15782.2	14702	7166.44
Mante	Pachon	Tinaja	3488.15	1878.52	9987.84	14781.7	15401.1	8823.89	6676.71	8900.58	7204.28
Mante	Rascon	Subter	2214.54	9030.96	3126.65	12178.7	8500.06	2902.04	18087.7	7581.63	9708.23
Mante	Rascon	Tinaja	1887.58	2806.18	5715.02	14784	8509.15	8826.36	11880.4	4677.58	9742.72
Mante	Subter	Tinaja	8451.24	2553.47	3413.76	14748.7	12152.7	8782.56	13894.4	17176.3	2897.98
Pachon	Rascon	Subter	4498.45	4417.72	2148.13	15767.7	5214.15	14676.7	18036.6	7554.95	14602.8
Pachon	Rascon	Tinaja	1776.05	7505.14	2315.28	6654.12	5224.27	8878.97	11847.9	4675.65	14620.2
Pachon	Subter	Tinaja	3446.47	9259.92	2044.53	6639.97	15758.1	8855.84	13854.6	17158	14670
Rascon	Subter	Tinaja	2095.65	4991.25	2957.18	11832.3	18043.9	4654.73	13868.5	17168.7	7550.7
